run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;cdn;200;170.235000;42.720000;174.224000
2;cdn;200;216.290000;41.335000;221.040000
3;cdn;200;173.245000;49.395000;180.817000
4;cdn;200;203.492000;59.916000;210.446000
5;cdn;200;165.895000;42.654000;175.079000
6;cdn;200;220.983000;71.011000;231.964000
7;cdn;200;212.251000;64.178000;224.940000
8;cdn;200;236.966000;48.207000;243.356000
9;cdn;200;178.149000;47.244000;187.268000
10;cdn;200;196.965000;52.343000;204.611000
11;cdn;200;202.660000;35.518000;210.049000
12;cdn;200;162.847000;50.136000;169.150000
13;cdn;200;187.190000;53.452000;193.787000
14;cdn;200;165.348000;46.632000;172.675000
15;cdn;200;186.398000;54.803000;193.993000
16;cdn;200;204.516000;56.181000;208.950000
17;cdn;200;231.918000;56.945000;236.673000
18;cdn;200;191.913000;53.186000;199.568000
19;cdn;200;221.961000;63.706000;234.081000
20;cdn;200;188.917000;53.154000;195.710000
21;cdn;200;223.961000;58.508000;228.628000
22;cdn;200;175.354000;51.083000;179.705000
23;cdn;200;165.130000;48.298000;173.256000
24;cdn;200;150.766000;37.850000;156.267000
25;cdn;200;190.735000;43.803000;197.485000
26;cdn;200;161.985000;44.931000;167.109000
27;cdn;200;199.279000;54.731000;205.150000
28;cdn;200;185.284000;55.948000;196.805000
29;cdn;200;224.864000;50.687000;229.845000
30;cdn;200;202.346000;59.198000;207.929000
31;cdn;200;214.592000;55.887000;220.454000
32;cdn;200;212.673000;62.358000;222.547000
33;cdn;200;190.356000;67.390000;198.012000
34;cdn;200;183.010000;46.860000;188.075000
35;cdn;200;194.066000;49.851000;200.381000
36;cdn;200;211.959000;60.308000;218.913000
37;cdn;200;165.320000;45.357000;171.025000
38;cdn;200;165.419000;41.700000;173.468000
39;cdn;200;193.757000;63.791000;214.129000
40;cdn;200;199.432000;62.125000;202.086000
41;cdn;200;171.069000;50.826000;190.686000
42;cdn;200;193.603000;48.652000;198.454000
43;cdn;200;191.835000;55.381000;198.601000
44;cdn;200;277.169000;55.474000;282.076000
45;cdn;200;171.331000;48.348000;176.945000
46;cdn;200;158.054000;41.372000;164.795000
47;cdn;200;143.402000;40.937000;150.557000
48;cdn;200;182.834000;48.655000;191.380000
49;cdn;200;185.387000;60.374000;188.870000
50;cdn;200;236.963000;64.757000;244.535000
