run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;no-cdn;200;503.471000;101.640000;590.719000
2;no-cdn;200;598.422000;106.731000;696.014000
3;no-cdn;200;539.104000;103.171000;633.563000
4;no-cdn;200;539.677000;98.691000;628.732000
5;no-cdn;200;536.737000;104.199000;624.343000
6;no-cdn;200;496.951000;92.892000;583.840000
7;no-cdn;200;543.750000;109.187000;637.547000
8;no-cdn;200;486.912000;101.311000;582.627000
9;no-cdn;200;490.355000;95.469000;575.923000
10;no-cdn;200;578.784000;102.849000;663.492000
11;no-cdn;200;568.794000;108.804000;670.547000
12;no-cdn;200;593.620000;97.852000;688.728000
13;no-cdn;200;522.643000;100.570000;610.400000
14;no-cdn;200;505.937000;88.775000;589.809000
15;no-cdn;200;503.787000;99.410000;591.034000
16;no-cdn;200;508.398000;104.727000;596.594000
17;no-cdn;200;596.229000;107.399000;688.879000
18;no-cdn;200;516.747000;92.852000;601.968000
19;no-cdn;200;494.525000;90.067000;580.107000
20;no-cdn;200;492.987000;91.296000;572.625000
21;no-cdn;200;566.611000;90.801000;641.671000
22;no-cdn;200;572.971000;104.229000;664.300000
23;no-cdn;200;497.543000;96.940000;577.572000
24;no-cdn;200;495.160000;95.810000;577.596000
25;no-cdn;200;608.172000;114.141000;704.898000
26;no-cdn;200;534.860000;104.534000;622.898000
27;no-cdn;200;488.289000;93.819000;574.448000
28;no-cdn;200;485.678000;93.703000;563.888000
29;no-cdn;200;500.907000;98.195000;586.928000
30;no-cdn;200;522.865000;104.776000;615.795000
31;no-cdn;200;493.586000;99.426000;580.104000
32;no-cdn;200;530.803000;105.587000;626.836000
33;no-cdn;200;508.792000;108.519000;599.056000
34;no-cdn;200;533.948000;107.556000;625.716000
35;no-cdn;200;478.923000;91.803000;562.192000
36;no-cdn;200;584.636000;92.819000;663.296000
37;no-cdn;200;483.217000;92.083000;563.992000
38;no-cdn;200;489.098000;98.078000;568.030000
39;no-cdn;200;561.589000;94.037000;643.209000
40;no-cdn;200;528.084000;89.142000;609.156000
41;no-cdn;200;568.375000;94.302000;654.180000
42;no-cdn;200;521.344000;95.344000;604.812000
43;no-cdn;200;519.660000;100.006000;610.134000
44;no-cdn;200;575.272000;98.559000;668.305000
45;no-cdn;200;482.502000;94.843000;566.037000
46;no-cdn;200;520.307000;104.582000;605.690000
47;no-cdn;200;5666.996000;5268.939000;5753.696000
48;no-cdn;200;554.923000;109.843000;649.551000
49;no-cdn;200;558.532000;103.053000;653.386000
50;no-cdn;200;515.630000;102.833000;603.354000
