run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;cdn;200;234.104000;59.907000;240.644000
2;cdn;200;262.250000;50.800000;266.714000
3;cdn;200;259.759000;44.775000;265.150000
4;cdn;200;255.447000;45.698000;259.949000
5;cdn;200;235.966000;42.076000;243.174000
6;cdn;200;186.337000;45.435000;195.347000
7;cdn;200;139.581000;34.564000;144.475000
8;cdn;200;192.469000;49.415000;198.047000
9;cdn;200;168.279000;45.931000;175.269000
10;cdn;200;188.519000;44.888000;195.504000
11;cdn;200;184.226000;53.689000;192.222000
12;cdn;200;202.274000;47.489000;209.182000
13;cdn;200;180.459000;47.906000;188.831000
14;cdn;200;202.382000;54.663000;208.875000
15;cdn;200;195.386000;50.684000;201.098000
16;cdn;200;185.359000;46.709000;189.636000
17;cdn;200;186.205000;55.064000;193.125000
18;cdn;200;182.698000;45.120000;187.785000
19;cdn;200;266.538000;58.744000;271.032000
20;cdn;200;219.340000;52.573000;225.748000
21;cdn;200;183.021000;53.025000;194.373000
22;cdn;200;196.697000;51.299000;203.636000
23;cdn;200;201.969000;49.620000;207.302000
24;cdn;200;142.467000;40.076000;150.824000
25;cdn;200;162.918000;45.897000;167.925000
26;cdn;200;207.095000;59.755000;212.302000
27;cdn;200;170.694000;52.611000;179.571000
28;cdn;200;221.954000;56.789000;227.339000
29;cdn;200;194.465000;59.883000;201.055000
30;cdn;200;196.293000;52.279000;201.874000
31;cdn;200;209.527000;54.291000;213.876000
32;cdn;200;182.163000;48.308000;188.445000
33;cdn;200;183.493000;45.979000;187.935000
34;cdn;200;207.251000;65.748000;213.235000
35;cdn;200;189.586000;53.603000;193.933000
36;cdn;200;171.901000;47.700000;175.632000
37;cdn;200;167.616000;35.905000;172.369000
38;cdn;200;187.725000;54.884000;196.006000
39;cdn;200;186.663000;52.001000;193.359000
40;cdn;200;238.080000;52.977000;243.434000
41;cdn;200;137.515000;35.797000;141.989000
42;cdn;200;234.562000;58.165000;240.322000
43;cdn;200;223.894000;50.805000;228.872000
44;cdn;200;160.413000;43.596000;169.895000
45;cdn;200;202.858000;39.883000;208.550000
46;cdn;200;189.567000;57.002000;194.563000
47;cdn;200;148.120000;33.635000;152.858000
48;cdn;200;177.173000;44.283000;181.339000
49;cdn;200;155.941000;42.082000;163.198000
50;cdn;200;186.036000;58.116000;198.523000
