run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;no-cdn;200;646.772000;201.719000;796.735000
2;no-cdn;200;639.956000;197.607000;793.653000
3;no-cdn;200;630.652000;195.480000;785.395000
4;no-cdn;200;617.259000;195.353000;785.638000
5;no-cdn;200;641.619000;196.485000;788.723000
6;no-cdn;200;609.188000;195.280000;784.673000
7;no-cdn;200;636.073000;194.107000;780.536000
8;no-cdn;200;630.290000;193.670000;778.983000
9;no-cdn;200;629.254000;196.678000;788.599000
10;no-cdn;200;637.837000;198.838000;798.915000
11;no-cdn;200;630.107000;192.261000;774.895000
12;no-cdn;200;631.947000;194.321000;781.016000
13;no-cdn;200;612.261000;194.886000;783.482000
14;no-cdn;200;630.226000;193.333000;776.696000
15;no-cdn;200;618.472000;193.646000;777.025000
16;no-cdn;200;627.272000;196.721000;789.175000
17;no-cdn;200;640.733000;198.772000;798.560000
18;no-cdn;200;627.787000;195.450000;785.121000
19;no-cdn;200;631.513000;195.220000;785.574000
20;no-cdn;200;637.747000;196.882000;790.534000
21;no-cdn;200;623.366000;193.050000;778.876000
22;no-cdn;200;608.237000;191.987000;772.107000
23;no-cdn;200;634.704000;197.885000;795.159000
24;no-cdn;200;632.992000;199.521000;791.412000
25;no-cdn;200;638.102000;199.704000;802.756000
26;no-cdn;200;641.561000;198.079000;796.956000
27;no-cdn;200;609.027000;195.660000;788.523000
28;no-cdn;200;647.751000;195.910000;787.669000
29;no-cdn;200;631.473000;195.117000;786.349000
30;no-cdn;200;637.190000;199.131000;797.545000
31;no-cdn;200;626.448000;194.991000;782.622000
32;no-cdn;200;616.156000;192.030000;770.168000
33;no-cdn;200;636.069000;198.224000;796.697000
34;no-cdn;200;640.913000;196.768000;788.626000
35;no-cdn;200;632.054000;197.304000;791.718000
36;no-cdn;200;628.499000;196.107000;786.532000
37;no-cdn;200;622.181000;192.939000;777.395000
38;no-cdn;200;625.712000;196.482000;786.937000
39;no-cdn;200;622.893000;193.793000;776.689000
40;no-cdn;200;627.998000;195.441000;785.877000
41;no-cdn;200;623.490000;193.341000;777.909000
42;no-cdn;200;624.570000;194.862000;781.930000
43;no-cdn;200;625.520000;195.918000;787.381000
44;no-cdn;200;616.559000;192.378000;773.071000
45;no-cdn;200;616.101000;198.052000;795.073000
46;no-cdn;200;612.514000;198.249000;794.224000
47;no-cdn;200;617.835000;191.546000;771.609000
48;no-cdn;200;632.136000;199.137000;793.186000
49;no-cdn;200;626.789000;196.506000;785.750000
50;no-cdn;200;634.587000;196.737000;790.256000
