run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;cdn;401;135.437000;40.480000;135.485000
2;cdn;401;155.119000;43.808000;155.281000
3;cdn;401;176.912000;48.673000;176.983000
4;cdn;401;219.412000;40.088000;219.490000
5;cdn;401;210.353000;62.782000;210.453000
6;cdn;401;183.736000;56.031000;183.826000
7;cdn;401;191.773000;52.828000;191.880000
8;cdn;401;172.532000;51.346000;172.639000
9;cdn;401;178.783000;43.033000;178.919000
10;cdn;401;158.409000;38.739000;158.485000
11;cdn;401;153.930000;44.694000;153.990000
12;cdn;401;181.753000;54.756000;181.836000
13;cdn;401;149.325000;40.458000;149.374000
14;cdn;401;151.569000;40.763000;151.685000
15;cdn;401;137.381000;39.749000;137.471000
16;cdn;401;206.918000;68.275000;206.970000
17;cdn;401;153.061000;45.289000;153.130000
18;cdn;401;186.544000;61.570000;186.616000
19;cdn;401;170.424000;46.530000;170.496000
20;cdn;401;146.983000;38.877000;147.024000
21;cdn;401;139.697000;42.498000;139.823000
22;cdn;401;131.090000;34.283000;131.131000
23;cdn;401;172.712000;44.259000;172.878000
24;cdn;401;252.075000;53.404000;252.210000
25;cdn;401;315.774000;47.927000;316.420000
26;cdn;401;184.668000;38.698000;184.760000
27;cdn;401;232.738000;42.436000;232.865000
28;cdn;401;223.204000;56.684000;223.381000
29;cdn;401;165.806000;46.968000;165.927000
30;cdn;401;186.313000;48.689000;186.394000
31;cdn;401;275.534000;48.687000;275.697000
32;cdn;401;236.192000;39.572000;236.426000
33;cdn;401;184.579000;38.123000;184.781000
34;cdn;401;178.789000;32.643000;178.866000
35;cdn;401;154.271000;47.647000;154.318000
36;cdn;401;178.335000;45.476000;178.388000
37;cdn;401;245.191000;47.433000;245.322000
38;cdn;401;143.505000;36.301000;143.579000
39;cdn;401;245.557000;58.799000;245.625000
40;cdn;401;168.224000;37.978000;168.302000
41;cdn;401;180.558000;53.370000;180.629000
42;cdn;401;163.079000;48.498000;163.162000
43;cdn;401;189.854000;50.814000;189.969000
44;cdn;401;171.370000;44.157000;171.582000
45;cdn;401;212.030000;36.432000;212.086000
46;cdn;401;203.912000;48.929000;203.985000
47;cdn;401;198.057000;60.951000;198.117000
48;cdn;401;177.796000;50.386000;177.884000
49;cdn;401;231.830000;55.117000;231.960000
50;cdn;401;219.975000;45.840000;220.066000
