run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;no-cdn;400;599.342000;198.513000;599.406000
2;no-cdn;400;594.758000;196.105000;594.838000
3;no-cdn;400;600.514000;197.287000;600.587000
4;no-cdn;400;595.239000;196.282000;595.315000
5;no-cdn;400;586.947000;193.754000;587.022000
6;no-cdn;400;601.428000;198.320000;601.508000
7;no-cdn;400;591.993000;195.855000;592.065000
8;no-cdn;400;594.672000;196.475000;594.753000
9;no-cdn;400;603.102000;198.807000;603.178000
10;no-cdn;400;596.666000;197.017000;596.743000
11;no-cdn;400;597.097000;196.978000;597.176000
12;no-cdn;400;591.697000;195.587000;591.758000
13;no-cdn;400;582.782000;192.031000;582.869000
14;no-cdn;400;607.142000;200.005000;607.276000
15;no-cdn;400;594.569000;196.125000;594.660000
16;no-cdn;400;603.223000;199.061000;603.303000
17;no-cdn;400;589.909000;195.195000;589.985000
18;no-cdn;400;606.034000;200.002000;606.099000
19;no-cdn;400;594.554000;196.787000;594.636000
20;no-cdn;400;593.881000;195.855000;593.950000
21;no-cdn;400;590.459000;194.609000;590.537000
22;no-cdn;400;596.469000;196.144000;596.557000
23;no-cdn;400;596.776000;197.539000;596.859000
24;no-cdn;400;588.232000;193.620000;588.312000
25;no-cdn;400;595.540000;196.204000;595.654000
26;no-cdn;400;599.032000;197.518000;599.107000
27;no-cdn;400;592.317000;195.208000;592.438000
28;no-cdn;400;599.143000;196.736000;599.228000
29;no-cdn;400;603.043000;198.934000;603.119000
30;no-cdn;400;595.711000;195.668000;595.850000
31;no-cdn;400;603.219000;198.818000;603.287000
32;no-cdn;400;601.643000;199.112000;601.727000
33;no-cdn;400;585.868000;193.640000;585.944000
34;no-cdn;400;604.228000;199.112000;604.341000
35;no-cdn;400;583.087000;191.956000;583.147000
36;no-cdn;400;600.764000;198.369000;600.829000
37;no-cdn;400;594.313000;196.922000;594.376000
38;no-cdn;400;596.540000;196.611000;596.615000
39;no-cdn;400;604.243000;199.157000;604.320000
40;no-cdn;400;595.533000;196.363000;595.593000
41;no-cdn;400;590.519000;194.806000;590.625000
42;no-cdn;400;598.538000;196.242000;598.615000
43;no-cdn;400;591.395000;195.860000;591.446000
44;no-cdn;400;582.435000;191.374000;582.511000
45;no-cdn;400;595.914000;195.879000;595.967000
46;no-cdn;400;605.322000;199.012000;605.375000
47;no-cdn;400;596.752000;197.555000;596.812000
48;no-cdn;400;588.175000;193.726000;588.252000
49;no-cdn;400;607.255000;200.071000;607.332000
50;no-cdn;400;591.940000;194.607000;592.016000
