run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;cdn;200;229.571000;45.698000;229.691000
2;cdn;200;334.120000;37.920000;334.282000
3;cdn;200;251.171000;60.203000;251.282000
4;cdn;200;314.581000;72.694000;314.758000
5;cdn;200;352.610000;45.714000;352.737000
6;cdn;200;328.538000;43.770000;328.674000
7;cdn;200;251.961000;38.203000;252.175000
8;cdn;200;287.914000;42.481000;288.082000
9;cdn;200;254.501000;45.150000;254.638000
10;cdn;200;267.310000;59.244000;267.454000
11;cdn;200;263.226000;49.591000;263.437000
12;cdn;200;266.588000;42.897000;266.776000
13;cdn;200;337.607000;53.942000;337.761000
14;cdn;200;267.936000;54.568000;268.104000
15;cdn;200;394.011000;50.487000;394.177000
16;cdn;200;266.894000;44.257000;267.090000
17;cdn;200;284.108000;41.730000;284.272000
18;cdn;200;223.076000;39.474000;223.248000
19;cdn;200;358.328000;53.472000;358.489000
20;cdn;200;330.131000;47.709000;330.313000
21;cdn;200;365.412000;57.807000;365.570000
22;cdn;200;264.453000;48.080000;264.677000
23;cdn;200;375.724000;52.325000;375.805000
24;cdn;200;283.357000;41.552000;283.534000
25;cdn;200;1394.166000;1180.822000;1394.674000
26;cdn;200;349.368000;35.909000;349.547000
27;cdn;200;352.872000;48.055000;353.053000
28;cdn;200;380.377000;55.351000;380.534000
29;cdn;200;375.617000;51.429000;375.790000
30;cdn;200;300.026000;45.130000;300.155000
31;cdn;200;372.634000;50.775000;373.533000
32;cdn;200;333.853000;48.261000;334.007000
33;cdn;200;387.054000;57.733000;387.205000
34;cdn;200;275.838000;51.656000;275.995000
35;cdn;200;307.845000;46.085000;308.091000
36;cdn;200;335.904000;58.578000;336.131000
37;cdn;200;382.737000;46.828000;382.901000
38;cdn;200;210.319000;37.780000;210.542000
39;cdn;200;408.070000;49.471000;408.553000
40;cdn;200;314.163000;50.206000;314.320000
41;cdn;200;405.407000;53.342000;405.594000
42;cdn;200;254.019000;50.248000;254.068000
43;cdn;200;246.564000;52.599000;246.609000
44;cdn;200;313.467000;50.302000;313.531000
45;cdn;200;377.054000;42.403000;377.145000
46;cdn;200;263.325000;46.004000;263.582000
47;cdn;200;310.353000;44.737000;311.158000
48;cdn;200;356.877000;47.808000;357.050000
49;cdn;200;354.518000;40.639000;354.674000
50;cdn;200;337.878000;50.973000;337.966000
