run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;cdn;200;55.541000;8.958000;55.588000
2;cdn;200;35.524000;2.262000;35.567000
3;cdn;200;42.297000;2.232000;42.352000
4;cdn;200;48.295000;2.705000;48.349000
5;cdn;200;41.315000;2.178000;41.370000
6;cdn;200;56.068000;3.552000;56.113000
7;cdn;200;45.553000;2.301000;45.609000
8;cdn;200;42.257000;2.353000;42.332000
9;cdn;200;56.632000;3.242000;56.687000
10;cdn;200;58.442000;3.101000;58.520000
11;cdn;200;54.192000;3.040000;54.234000
12;cdn;200;51.505000;2.967000;51.548000
13;cdn;200;48.013000;2.268000;48.051000
14;cdn;200;56.687000;3.502000;56.726000
15;cdn;200;54.123000;3.383000;54.185000
16;cdn;200;45.593000;3.576000;45.652000
17;cdn;200;57.015000;3.296000;57.066000
18;cdn;200;54.525000;3.051000;54.566000
19;cdn;200;52.688000;3.067000;52.762000
20;cdn;200;54.527000;2.977000;54.566000
21;cdn;200;57.710000;3.108000;57.758000
22;cdn;200;38.292000;2.045000;38.345000
23;cdn;200;56.985000;3.443000;57.062000
24;cdn;200;52.461000;3.979000;52.592000
25;cdn;200;36.038000;2.563000;36.108000
26;cdn;200;57.439000;3.140000;57.483000
27;cdn;200;55.050000;3.579000;55.101000
28;cdn;200;41.889000;3.847000;41.931000
29;cdn;200;33.948000;2.125000;33.981000
30;cdn;200;54.576000;2.841000;54.619000
31;cdn;200;57.833000;2.883000;57.877000
32;cdn;200;56.645000;3.161000;56.734000
33;cdn;200;53.447000;2.986000;53.492000
34;cdn;200;60.406000;3.515000;60.448000
35;cdn;200;60.674000;3.064000;60.740000
36;cdn;200;498.727000;3.102000;498.801000
37;cdn;200;52.820000;3.178000;52.924000
38;cdn;200;55.371000;3.008000;55.443000
39;cdn;200;58.902000;3.442000;58.998000
40;cdn;200;57.149000;3.083000;57.205000
41;cdn;200;57.998000;3.032000;58.047000
42;cdn;200;44.717000;2.354000;44.759000
43;cdn;200;53.072000;3.149000;53.126000
44;cdn;200;63.536000;2.023000;63.647000
45;cdn;200;56.407000;3.154000;56.454000
46;cdn;200;44.365000;2.479000;44.413000
47;cdn;200;42.752000;2.448000;42.797000
48;cdn;200;57.084000;3.199000;57.166000
49;cdn;200;52.810000;2.756000;52.857000
50;cdn;200;65.469000;3.549000;65.536000
