run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;no-cdn;200;600.802000;201.711000;600.877000
2;no-cdn;200;587.022000;193.449000;587.111000
3;no-cdn;200;604.541000;200.200000;604.637000
4;no-cdn;200;606.210000;200.327000;606.293000
5;no-cdn;200;598.825000;197.393000;598.899000
6;no-cdn;200;603.188000;198.943000;603.274000
7;no-cdn;200;588.778000;194.622000;588.837000
8;no-cdn;200;596.924000;196.813000;597.022000
9;no-cdn;200;583.317000;192.260000;583.407000
10;no-cdn;200;603.446000;198.831000;603.524000
11;no-cdn;200;595.761000;196.387000;595.846000
12;no-cdn;200;588.788000;194.473000;588.864000
13;no-cdn;200;595.694000;196.228000;595.779000
14;no-cdn;200;587.534000;193.114000;587.597000
15;no-cdn;200;591.122000;194.920000;591.206000
16;no-cdn;200;584.647000;192.714000;584.714000
17;no-cdn;200;603.462000;198.897000;603.533000
18;no-cdn;200;588.845000;194.788000;588.955000
19;no-cdn;200;596.901000;196.799000;596.980000
20;no-cdn;200;597.760000;197.320000;597.837000
21;no-cdn;200;602.318000;198.898000;602.383000
22;no-cdn;200;596.658000;196.562000;596.736000
23;no-cdn;200;602.630000;198.377000;602.685000
24;no-cdn;200;588.005000;194.092000;588.084000
25;no-cdn;200;596.468000;197.488000;596.549000
26;no-cdn;200;595.248000;196.297000;595.336000
27;no-cdn;200;597.934000;196.457000;598.003000
28;no-cdn;200;583.693000;193.012000;583.777000
29;no-cdn;200;603.801000;199.664000;603.879000
30;no-cdn;200;593.364000;195.860000;593.444000
31;no-cdn;200;599.750000;197.148000;599.826000
32;no-cdn;200;592.274000;195.281000;592.336000
33;no-cdn;200;591.127000;194.783000;591.217000
34;no-cdn;200;583.426000;193.615000;583.485000
35;no-cdn;200;583.996000;193.809000;584.066000
36;no-cdn;200;587.238000;193.544000;587.299000
37;no-cdn;200;590.610000;195.925000;590.671000
38;no-cdn;200;591.804000;196.379000;591.876000
39;no-cdn;200;588.320000;194.648000;588.380000
40;no-cdn;200;588.679000;194.810000;588.741000
41;no-cdn;200;583.618000;192.785000;583.682000
42;no-cdn;200;584.197000;192.827000;584.255000
43;no-cdn;200;601.638000;198.763000;601.701000
44;no-cdn;200;596.744000;197.103000;596.821000
45;no-cdn;200;590.377000;194.177000;590.448000
46;no-cdn;200;600.247000;198.119000;600.319000
47;no-cdn;200;589.320000;194.280000;589.359000
48;no-cdn;200;585.657000;193.198000;585.736000
49;no-cdn;200;602.489000;198.330000;602.603000
50;no-cdn;200;589.941000;194.451000;590.028000
