timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773051704219,671,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14326,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,653,0,120
1773051703307,1583,GET_images_small,200,OK,TG_resize_100_threads 1-2,bin,true,,14322,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,1572,0,699
1773051703129,1760,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14330,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,1743,0,876
1773051703608,1283,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14320,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,1278,0,398
1773051703909,995,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14336,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,985,0,97
1773051704529,377,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14318,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,365,0,112
1773051704897,41,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,36,0,0
1773051704897,48,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14335,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,43,0,0
1773051704907,45,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,39,0,0
1773051704897,65,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,56,0,0
1773051704905,60,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,52,0,0
1773051704897,75,GET_images_small,200,OK,TG_resize_100_threads 1-2,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,70,0,0
1773051704825,154,GET_images_small,200,OK,TG_resize_100_threads 1-7,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,150,0,90
1773051704938,49,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051704947,47,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,40,0,0
1773051704953,45,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14327,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051704966,40,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,35,0,0
1773051704963,50,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14333,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,43,0,0
1773051704973,52,GET_images_small,200,OK,TG_resize_100_threads 1-2,bin,true,,14335,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051704980,48,GET_images_small,200,OK,TG_resize_100_threads 1-7,bin,true,,14327,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,40,0,0
1773051704988,45,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,40,0,0
1773051704994,46,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051704999,49,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14323,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051705007,48,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051705014,46,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14327,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051705028,44,GET_images_small,200,OK,TG_resize_100_threads 1-7,bin,true,,14331,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,39,0,0
1773051705026,60,GET_images_small,200,OK,TG_resize_100_threads 1-2,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,48,0,0
1773051705033,53,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,49,0,0
1773051705041,53,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,48,0,0
1773051705048,50,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14327,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,46,0,0
1773051705055,51,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14329,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,46,0,0
1773051705061,52,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14327,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,48,0,0
1773051705072,46,GET_images_small,200,OK,TG_resize_100_threads 1-7,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,41,0,0
1773051705087,38,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14325,360,7,7,https://edoandcode.com/images/small.jpg?width=400&quality=80,35,0,0
1773051705087,52,GET_images_small,200,OK,TG_resize_100_threads 1-2,bin,true,,14325,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,47,0,0
1773051705099,47,GET_images_small,200,OK,TG_resize_100_threads 1-6,bin,true,,14325,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,42,0,0
1773051705106,47,GET_images_small,200,OK,TG_resize_100_threads 1-4,bin,true,,14331,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,42,0,0
1773051705094,71,GET_images_small,200,OK,TG_resize_100_threads 1-1,bin,true,,14329,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,62,0,0
1773051705114,53,GET_images_small,200,OK,TG_resize_100_threads 1-3,bin,true,,14327,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,44,0,0
1773051705119,56,GET_images_small,200,OK,TG_resize_100_threads 1-7,bin,true,,14329,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,51,0,0
1773051705126,54,GET_images_small,200,OK,TG_resize_100_threads 1-5,bin,true,,14333,360,8,8,https://edoandcode.com/images/small.jpg?width=400&quality=80,51,0,0
