run;scenario;ttfb_ms;rtt_ms;total_ms
1;cdn;360.580000;188.867000;360.673000
2;cdn;242.744000;88.176000;242.891000
3;cdn;194.488000;44.525000;194.552000
4;cdn;188.874000;46.180000;188.963000
5;cdn;153.061000;37.902000;153.136000
6;cdn;226.036000;70.571000;226.113000
7;cdn;223.686000;65.395000;223.811000
8;cdn;557.716000;130.980000;557.860000
9;cdn;683.144000;67.207000;683.271000
10;cdn;521.048000;85.294000;521.186000
11;cdn;203.006000;51.032000;203.068000
12;cdn;197.767000;46.334000;197.893000
13;cdn;241.097000;88.456000;241.240000
14;cdn;167.310000;48.242000;167.406000
15;cdn;182.158000;53.615000;182.616000
16;cdn;385.552000;65.803000;385.621000
17;cdn;225.065000;61.442000;225.209000
18;cdn;201.285000;69.652000;201.531000
19;cdn;236.998000;82.672000;237.142000
20;cdn;215.239000;52.951000;215.356000
21;cdn;203.902000;65.984000;204.069000
22;cdn;199.065000;60.396000;199.172000
23;cdn;201.323000;63.335000;201.413000
24;cdn;262.661000;53.771000;262.920000
25;cdn;154.698000;36.316000;154.771000
26;cdn;190.708000;62.875000;190.835000
27;cdn;180.832000;46.248000;180.974000
28;cdn;168.201000;50.594000;168.275000
29;cdn;214.292000;98.249000;214.355000
30;cdn;173.759000;42.307000;173.832000
