run;scenario;ttfb_ms;rtt_ms;total_ms
1;no-cdn;331.839000;124.874000;331.965000
2;no-cdn;307.964000;117.457000;308.129000
3;no-cdn;299.222000;97.628000;299.286000
4;no-cdn;294.926000;94.252000;294.991000
5;no-cdn;338.760000;140.957000;338.897000
6;no-cdn;316.439000;104.674000;317.004000
7;no-cdn;316.762000;106.799000;316.902000
8;no-cdn;299.092000;93.630000;299.238000
9;no-cdn;307.615000;102.633000;307.734000
10;no-cdn;341.439000;133.419000;341.560000
11;no-cdn;356.702000;110.269000;356.837000
12;no-cdn;343.958000;138.703000;344.162000
13;no-cdn;342.982000;137.260000;343.152000
14;no-cdn;297.552000;98.982000;297.682000
15;no-cdn;291.221000;99.116000;291.359000
16;no-cdn;301.024000;100.289000;301.093000
17;no-cdn;268.419000;88.438000;268.738000
18;no-cdn;323.097000;112.517000;323.236000
19;no-cdn;335.877000;127.155000;336.004000
20;no-cdn;339.472000;120.971000;339.537000
21;no-cdn;312.708000;92.259000;312.847000
22;no-cdn;343.809000;99.661000;343.947000
23;no-cdn;331.538000;122.104000;331.620000
24;no-cdn;339.956000;135.016000;340.081000
25;no-cdn;325.790000;120.517000;325.911000
26;no-cdn;367.529000;111.645000;367.673000
27;no-cdn;317.825000;110.860000;317.950000
28;no-cdn;298.516000;108.298000;298.652000
29;no-cdn;345.553000;140.496000;345.654000
30;no-cdn;307.643000;104.334000;307.765000
